Name,Type,Attunement,Price,Source,Damage,Description
Realmswarden Greataxe (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Realmswarden Greataxe is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Red Claws Regalia (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Red Claws Regalia is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Red Queen's Burden (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Red Queen's Burden is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Red Rider's Blade (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Red Rider's Blade is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Rejuvenating Draft (Very Rare),Potion,No,"100,000 GP",GSB,-,"Rejuvenating Draft is a very rare consumable magic item that produces a powerful temporary restorative, transformative, protective, or spell-like effect when used."
Reliquary of Holy Memories (Very Rare),Rod,"Yes-Cleric, Paladin","200,000 GP",GSB,Radiant,"Reliquary of Holy Memories is a very rare magical rod with a potent activated utility, control, defensive, or combat effect."
Ring of Djinni Summoning (Very Rare),Ring,Attunement,"200,000 GP",DMG,Varies,"While wearing this ring, the attuned user can summon a specific djinni from the Elemental Plane of Air. The djinni appears nearby, obeys commands for a limited time, and cannot be summoned again until the ring recharges."
Ring of Elemental Command (Very Rare),Ring,Attunement,"200,000 GP",DMG,Varies,"This ring is tied to one elemental plane and grants related powers. It can influence or control elementals of that type, provides defensive benefits, and unlocks additional spells and abilities after the wearer helps defeat an elemental of the associated kind."
Ring of Invisibility (Very Rare),Ring,Attunement,"200,000 GP",DMG,-,"While wearing this ring, the user can become invisible as an action. The invisibility lasts until the ring is removed, the wearer attacks or casts a spell, or the wearer ends the effect."
Ring of Spell Turning (Very Rare),Ring,Attunement,"200,000 GP",DMG,-,"This ring grants advantage on saving throws against spells that target only the wearer. When the wearer rolls especially well on such a save, the spell can be reflected back at its caster."
Ring of the Assassin Lord (Very Rare),Ring,Yes-Rogue,"200,000 GP",GSB,-,Ring of the Assassin Lord is a very rare magical ring that grants a powerful passive benefit or limited supernatural ability while worn.
Ring of the Golden Directorate (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,Ring of the Golden Directorate is a very rare magical ring that grants a powerful passive benefit or limited supernatural ability while worn.
Ring of Three Wishes (Very Rare),Ring,-,"100,000 GP",DMG,Varies,"This ring contains three charges. While wearing it, the user can expend a charge to cast wish; the ring becomes nonmagical when the last charge is used."
Rings of Spell Sharing (Very Rare),Ring,Yes-Spellcaster,"200,000 GP",GSB,-,Rings of Spell Sharing is a very rare magical ring that grants a powerful passive benefit or limited supernatural ability while worn.
Robe of the Archmagi (Very Rare),Wondrous Item,Attunement,"200,000 GP",DMG,-,"This robe grants a high base Armor Class while unarmored, advantage on saving throws against spells and magical effects, and a bonus to spell attack rolls and spell save DC. Its alignment must match the wearer."
Rod of Lordly Might (Very Rare),Rod,Attunement,"200,000 GP",DMG,Weapon's normal damage,"This +3 rod can transform into several different weapons and useful forms. It also has powerful limited-use abilities that can drain life, paralyze a target, or terrify nearby enemies."
Rod of Resurrection (Very Rare),Rod,Attunement,"200,000 GP",DMG,-,This rod contains charges that can cast powerful healing magic and resurrection magic. Using its strongest resurrection effect risks destroying the rod.
Rose of the Queen Valkyrie (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Rose of the Queen Valkyrie is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Royal Incinerator (Very Rare),Staff,"Yes-Druid, Sorcerer, Warlock, Wizard","200,000 GP",GSB,-,Royal Incinerator is a very rare magical staff that serves as a weapon or focus and carries one or more powerful magical abilities.
Scarab of Protection (Very Rare),Wondrous Item,Attunement,"200,000 GP",DMG,-,This scarab grants advantage on saving throws against spells and has limited charges that can completely negate certain harmful necromancy and undead effects before losing its magic.
Scroll of the Eclipse (Very Rare),Scroll,No,"100,000 GP",GSB,-,"Scroll of the Eclipse is a very rare consumable magic item that produces a powerful temporary restorative, transformative, protective, or spell-like effect when used."
Scroll of Titan Summoning (Very Rare),Scroll,-,"100,000 GP",DMG,Varies,Reading this powerful scroll summons a titan-like creature or similarly overwhelming ally according to the scroll's specific rules. The scroll is consumed when its magic is successfully used.
Seed of Rebirth (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Seed of Rebirth is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
"Shaarat'doovol, the Blade of Truth (Very Rare)",Weapon,Attunement,"200,000 GP",EB,Weapon's normal damage,"Shaarat'doovol, the Blade of Truth is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Shade and Shine (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Shade and Shine is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Shadowscale Shroud (Very Rare),Armor,Yes,"B+200,000 GP",GSB,Necrotic,"Shadowscale Shroud is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Shadowscale Shroud Armor (Very Rare),Armor,Yes,"B+200,000 GP",GSB,Necrotic,"Shadowscale Shroud Armor is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Shield of the Unmarked Grave (Very Rare),Armor,Yes,"B+200,000 GP",GSB,Necrotic,"Shield of the Unmarked Grave is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Skylit Greaves (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Skylit Greaves is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Slaying Longbow (Very Rare),Weapon,No,"B+200,000 GP",GSB,Weapon's normal damage,"Slaying Longbow is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Smog Baron's Greatcoat (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Smog Baron's Greatcoat is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Soul-Searing Scythe (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Soul-Searing Scythe is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Sovereign Glue (Very Rare),Wondrous Item,-,"100,000 GP",DMG,-,"This adhesive permanently bonds objects together after it cures. The bond is extraordinarily difficult to break and normally requires universal solvent, oil of etherealness, or similarly powerful magic."
Sovereignseed Duffel (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Sovereignseed Duffel is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Spell Scroll (Very Rare),Scroll,-,Varies,DMG,Varies,"This scroll contains a single spell. A creature with that spell on its class spell list can attempt to cast it from the scroll, using the scroll's fixed spell attack bonus and save DC; the writing disappears after a successful casting."
Spellfire Bow (Very Rare),Weapon,Yes-Spellcaster,"B+200,000 GP",GSB,Fire + weapon's normal damage,"Spellfire Bow is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Sphere of Annihilation (Very Rare),Wondrous Item,-,"200,000 GP",DMG,Force,"This 2-foot sphere of absolute darkness annihilates matter that passes through it, dealing severe force damage to creatures it contacts. A creature can attempt to control and move it through force of will, with interference making control harder."
Spire Seed (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Spire Seed is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Spirit Cleaver (Very Rare),Weapon,Yes-Rogue,"B+200,000 GP",GSB,Weapon's normal damage,"Spirit Cleaver is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Sprig of Yggdrasil (Very Rare),Rod,"Yes-Cleric, Druid","200,000 GP",GSB,-,"Sprig of Yggdrasil is a very rare magical rod with a potent activated utility, control, defensive, or combat effect."
Staff of the Arcanum (Very Rare),Staff,Yes-Wizard,"200,000 GP",GSB,-,Staff of the Arcanum is a very rare magical staff that serves as a weapon or focus and carries one or more powerful magical abilities.
Staff of the Ferryman (Very Rare),Staff,"Yes-Cleric, Druid, Warlock, or Wizard","200,000 GP",GSB,-,Staff of the Ferryman is a very rare magical staff that serves as a weapon or focus and carries one or more powerful magical abilities.
Staff of the Magi (Very Rare),Staff,Attunement,"200,000 GP",DMG,Varies,"This +2 quarterstaff grants spell resistance, contains many charges for powerful spells, and can absorb incoming spells to restore charges. Breaking it intentionally releases a devastating retributive strike that may also teleport the wielder."
Staff of the Weaver Arcane (Very Rare),Staff,"Yes-Sorcerer, Wizard","200,000 GP",GSB,-,Staff of the Weaver Arcane is a very rare magical staff that serves as a weapon or focus and carries one or more powerful magical abilities.
Starfire Katana (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Fire + weapon's normal damage,"Starfire Katana is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Starmetal Nova Armor (Very Rare),Armor,Yes,"B+200,000 GP",GSB,-,"Starmetal Nova Armor is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Starmetal Shield (Very Rare),Armor,Yes,"B+200,000 GP",GSB,-,"Starmetal Shield is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Starmetal Solar Axe (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Starmetal Solar Axe is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Storm Thrower Harpoon (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Storm Thrower Harpoon is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Sword of Answering (Very Rare),Weapon,Attunement,"B+200,000 GP",DMG,Weapon's normal damage,"This +3 longsword is tied to a specific alignment. While attuned by a matching wielder, it can make a special reaction attack against a creature that damages the wielder, with additional benefits on that answering strike."
Sword of Damocles (Very Rare),Weapon,Yes-Lawful,"B+200,000 GP",GSB,Weapon's normal damage,"Sword of Damocles is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Sword of Damocles (Very Rare),Weapon,Yes-Lawful,"B+200,000 GP",GSB,Weapon's normal damage,"Sword of Damocles is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Sword of the Spelldrinker (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Sword of the Spelldrinker is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Talisman of Pure Good (Very Rare),Wondrous Item,Attunement,"100,000 GP",DMG,Radiant,"A good-aligned divine spellcaster can use this talisman to gain a bonus to spell attack rolls and, a limited number of times, open a fiery fissure beneath an evil creature; an unworthy bearer suffers harmful effects."
Talisman of the Sphere (Very Rare),Wondrous Item,Attunement,"200,000 GP",DMG,Force,This talisman improves its wearer's ability to control a sphere of annihilation. A creature that controls a sphere can use the talisman to move it more effectively and can direct it against another creature controlling the same sphere.
Talisman of Ultimate Evil (Very Rare),Wondrous Item,Attunement,"100,000 GP",DMG,Necrotic,"An evil-aligned divine spellcaster can use this talisman to gain a bonus to spell attack rolls and, a limited number of times, open a fiery fissure beneath a good creature; an unworthy bearer suffers harmful effects."
Tarrasque Plate (Very Rare),Armor,Yes-Paladin,"B+200,000 GP",GSB,-,"Tarrasque Plate is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
The Last Standard (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"The Last Standard is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
The Pallid Veil (Very Rare),Wondrous Item,"Yes-Cleric, Warlock, or Wizard","200,000 GP",GSB,-,"The Pallid Veil is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
The Timekeeper's Pendulum (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"The Timekeeper's Pendulum is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Thornpiercer (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Thornpiercer is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Tideborn Trident (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Tideborn Trident is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Tome of Lost Knowledge (Very Rare),Wondrous Item,Yes-Wizard,"200,000 GP",GSB,-,"Tome of Lost Knowledge is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Tome of Planar Wonderings and Wanderings (Very Rare),Wondrous Item,No,"200,000 GP",GSB,-,Tome of Planar Wonderings and Wanderings is a very rare magical ring that grants a powerful passive benefit or limited supernatural ability while worn.
Tome of the Dragon (Very Rare),Wondrous Item,-,"200,000 GP",FRAiF,-,"Tome of the Dragon is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Tome of the Stilled Tongue (Very Rare),Wondrous Item,Attunement,"200,000 GP",DMG,-,"This spellbook can serve as a wizard's spellbook and arcane focus. Its attuned owner can use it to cast one written spell without expending a spell slot, after which that property recharges; the book is also connected to Vecna."
Tome of the Unknowable (Very Rare),Wondrous Item,No,"200,000 GP",GSB,-,"Tome of the Unknowable is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Tyrant's End (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Tyrant's End is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Underworld Asphodel Regalia (Very Rare),Wondrous Item,"Yes-Cleric, Wizard","200,000 GP",GSB,-,"Underworld Asphodel Regalia is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Universal Solvent (Very Rare),Wondrous Item,-,"100,000 GP",DMG,-,Applying this rare liquid dissolves sovereign glue and can separate objects that were permanently bonded by it. A container holds only a small number of applications.
Violet King's Promise (Very Rare),Weapon,"Yes-Bard, Cleric, Paladin, Ranger","B+200,000 GP",GSB,Weapon's normal damage,"Violet King's Promise is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Visage of Delight and Disaster (Very Rare),Wondrous Item,Yes-Cha 17,"200,000 GP",GSB,-,"Visage of Delight and Disaster is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Vorpal Sword (Very Rare),Weapon,Attunement,"B+200,000 GP",DMG,Weapon's normal damage,"This +3 slashing weapon ignores resistance to slashing damage. On a natural 20, it can sever the target's head if the creature can survive without one; otherwise it deals a large amount of extra slashing damage."
Wand of the Alicorn (Very Rare),Wand,Yes-Good Spellcaster,"200,000 GP",GSB,-,Wand of the Alicorn is a very rare magical wand with charges or limited uses that produce a powerful spell-like or supernatural effect.
Well of Many Worlds (Very Rare),Wondrous Item,-,"200,000 GP",DMG,-,"Unfolding and placing this cloth creates a two-way portal to another world or plane selected randomly by the item. Folding the cloth closes the portal, and reopening it later can lead somewhere different."
Windrazor (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Windrazor is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Worldbreaker (Very Rare),Weapon,Yes-Str 17,"B+200,000 GP",GSB,Weapon's normal damage,"Worldbreaker is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
